Episode,Kick_Speed,NN_start_speed,CRS_speed,location_of_patch,friction,Rewards,Stop_Distance
361,6.61,6.39,0.0,87.95,0.11,-473.53,96.16
362,19.06,19.06,0.0,92.05,0.57,-290.12,80.65
363,37.83,37.83,0.0,59.18,0.54,-36.67,31.17
364,44.34,44.34,-0.01,70.19,0.44,-5.08,12.67
365,12.74,12.74,-0.01,65.61,0.62,-361.87,90.11
366,44.39,44.39,-0.01,21.28,0.84,-19.39,17.42
367,44.71,44.71,-0.01,56.75,0.33,-11.59,15.11
368,26.28,25.66,-0.01,46.52,0.3,-190.43,63.37
369,16.92,16.92,-0.01,92.03,0.44,-334.75,83.42
370,7.28,7.28,-0.01,74.56,0.72,-470.09,95.98
371,33.92,33.92,-0.01,91.82,0.5,-106.45,45.57
372,11.5,11.5,-0.01,8.82,0.64,-443.95,89.67
373,11.11,11.11,-0.01,81.07,0.44,-395.55,92.0
374,42.9,42.9,-0.01,47.9,0.3,-24.66,23.63
375,28.56,28.56,-0.01,41.31,0.35,-194.84,58.77
376,44.33,44.33,-0.0,71.79,0.46,-4.79,12.55
377,9.33,9.33,-0.0,61.14,0.68,-428.55,93.79
378,21.56,21.01,-0.0,92.73,0.38,-280.74,74.97
379,35.52,34.8,-0.0,64.91,0.41,-80.56,37.61
380,40.2,40.2,-0.0,99.05,0.67,-34.62,25.66
381,33.97,33.97,-0.0,21.87,0.54,-116.29,51.67
382,6.26,6.26,-0.0,12.82,0.37,-483.95,96.7
383,39.73,38.98,-0.0,46.08,0.51,-56.93,29.52
384,43.12,43.12,-0.0,35.33,0.67,-53.68,29.01
385,24.81,24.81,-0.0,92.34,0.49,-267.96,69.16
386,20.18,20.18,-0.0,45.69,0.52,-337.4,78.61
387,14.84,14.84,-0.0,64.01,0.47,-401.69,87.33
388,17.53,17.53,-0.0,74.62,0.64,-331.74,83.24
389,39.58,39.58,-0.0,99.77,0.39,-46.2,27.76
390,13.93,13.93,-0.0,63.99,0.59,-424.19,88.59
391,33.61,33.61,-0.0,34.5,0.7,-140.13,49.05
392,11.33,11.33,-0.0,2.23,0.61,-367.51,90.43
393,39.23,38.49,-0.0,3.17,0.48,-42.83,27.17
394,16.35,16.35,-0.0,35.01,0.6,-363.24,85.12
395,16.21,16.21,-0.0,1.92,0.59,-380.72,86.13
