Episode,Kick_Speed,NN_start_speed,CRS_speed,Rewards,Stop_Distance
283,7.059,7.059,35.021,-402.072,87.352
284,8.27,8.059,35.021,-294.358,80.918
285,27.427,27.427,16.333,-578.134,0.092
286,19.313,19.313,16.333,-24.515,18.727
287,29.428,29.428,18.682,-1074.728,-0.016
288,24.629,24.629,13.196,-1052.784,-0.048
289,34.365,34.365,25.485,-595.629,0.045
290,39.138,39.138,31.657,-544.563,0.185
291,14.118,14.118,31.657,-140.692,54.027
292,27.006,27.006,16.467,-568.209,0.118
293,21.944,21.944,7.258,-1029.032,-0.069
294,12.402,12.058,7.258,-209.089,64.833
295,25.899,25.899,14.723,-1058.892,-0.044
296,28.432,28.432,17.843,-599.116,0.036
297,8.518,8.518,17.843,-290.294,80.66
298,43.666,43.666,35.275,-1141.1,-0.059
299,27.439,27.439,17.245,-563.024,0.133
300,25.816,25.816,15.691,-1062.764,-0.186
301,9.815,9.815,15.691,-342.433,78.925
302,14.46,14.46,15.691,-130.201,53.034
303,20.505,19.972,3.684,0,7.342
304,13.405,13.405,3.684,-151.78,60.154
305,29.385,28.723,19.892,-1079.568,-0.033
306,7.103,7.103,19.892,-363.943,85.158
307,35.875,35.875,27.305,-596.586,0.043
308,6.992,6.761,27.305,-400.993,87.291
309,22.806,22.806,8.622,-1034.486,-0.081
310,23.357,23.357,9.824,-1039.296,-0.064
311,39.739,39.739,31.399,-609.151,0.01
312,8.426,8.426,31.399,-319.964,82.517
313,27.434,27.434,15.836,-1063.343,-0.133
314,6.019,6.019,15.836,-364.808,90.274
315,12.936,12.936,15.836,-178.805,62.428
316,15.153,15.153,15.836,-104.971,50.519
317,14.956,14.956,15.836,-128.894,47.929
318,14.437,14.437,15.836,-138.788,53.849
319,42.615,42.615,34.847,-1139.387,-0.277
320,13.34,12.97,34.847,-148.066,54.709
321,28.919,28.919,19.028,-612.321,0.002
322,24.767,24.767,13.942,-602.316,0.028
323,44.464,44.464,36.657,-565.888,0.125
324,44.719,44.719,36.889,-1147.557,-0.2
325,27.97,27.97,18.412,-609.915,0.008
326,38.44,37.7,29.404,-540.112,0.197
327,28.227,28.227,17.78,-1071.119,-0.001
328,15.61,15.61,17.78,-109.782,45.933
329,17.661,17.661,17.78,-46.197,32.74
330,20.756,20.756,2.833,0,8.771
331,15.789,15.366,2.833,-128.038,47.842
332,6.695,6.695,2.833,-436.877,89.287
333,16.923,16.923,2.833,-66.001,35.669
334,27.444,27.444,16.106,-1064.422,-0.002
335,28.393,28.393,18.161,-584.785,0.074
336,6.271,6.271,18.161,-375.153,90.86
337,16.38,16.38,18.161,-99.823,39.979
338,22.455,22.455,9.448,-1037.79,-0.067
339,35.451,35.451,27.193,-1108.774,-0.35
340,13.636,13.636,27.193,-191.162,63.426
341,23.79,23.79,10.666,-1042.664,-0.021
342,12.345,12.345,10.666,-240.24,67.175
343,35.258,35.258,25.977,-593.44,0.051
344,14.145,14.145,25.977,-154.143,55.262
345,42.815,42.046,35.568,-1142.271,-0.092
346,38.422,38.422,30.243,-553.879,0.158
347,31.846,31.159,23.377,-601.774,0.029
348,5.473,5.473,23.377,-403.472,92.433
349,31.644,31.644,22.362,-1089.448,-0.072
350,40.353,40.353,32.264,-610.357,0.007
351,23.972,23.972,12.908,-1051.632,-0.15
352,27.203,27.203,16.345,-570.484,0.112
353,31.6,31.6,22.461,-607.042,0.015
354,21.44,21.44,6.217,-235.586,1.49
355,42.133,42.133,33.973,-1135.894,-0.061
356,37.779,37.779,28.859,-517.929,0.263
357,18.676,18.676,28.859,-33.568,25.457
358,35.23,35.23,27.311,-1109.243,-0.342
359,27.788,27.788,17.982,-1071.927,-0.097
360,9.507,9.507,17.982,-350.181,79.402
361,14.485,14.485,17.982,-123.416,52.376
362,38.994,38.994,31.226,-1124.905,-0.111
363,28.932,28.932,19.055,-1076.221,-0.021
364,8.492,8.492,19.055,-317.942,82.392
365,16.791,16.791,19.055,-90.398,38.847
366,19.368,19.368,19.055,-18.943,22.324
367,11.421,11.421,19.055,-219.912,70.728
368,9.015,9.015,19.055,-311.667,82.004
369,37.929,37.929,30.37,-1121.48,-0.306
370,8.691,8.691,30.37,-294.88,80.951
371,24.838,24.838,13.248,-1052.992,-0.016
372,41.482,41.482,32.924,-1131.695,-0.077
373,26.253,26.253,15.002,-1060.01,-0.014
374,12.643,12.643,15.002,-184.275,62.873
375,23.593,23.593,11.385,-1045.539,-0.101
376,9.235,9.235,11.385,-323.33,77.731
377,28.891,28.891,19.373,-598.119,0.039
378,18.362,18.362,19.373,-41.148,26.874
379,32.651,32.651,22.97,-1091.878,-0.177
380,30.007,30.007,19.187,-1076.748,-0.25
381,35.512,35.512,27.421,-607.732,0.014
382,40.507,40.507,32.969,-1131.875,-0.065
383,43.566,42.793,35.791,-599.938,0.034
384,40.491,40.491,32.069,-1128.277,-0.032
385,15.71,15.71,32.069,-117.834,46.789
386,19.467,19.467,32.069,-13.279,20.902
387,26.831,26.831,16.533,-603.959,0.023
388,34.555,34.555,25.943,-553.641,0.159
389,14.263,14.263,25.943,-142.216,54.169
390,42.985,42.985,34.596,-575.896,0.098
391,17.991,17.991,34.596,-41.537,26.944
392,11.62,11.62,34.596,-273.656,69.56
393,5.196,5.196,34.596,-403.246,92.421
394,30.492,30.492,20.704,-1082.817,-0.156
395,44.917,44.136,37.042,-612.789,0.001
396,38.351,38.351,30.132,-599.409,0.035
397,26.551,26.551,15.26,-608.685,0.011
398,14.056,14.056,15.26,-145.475,54.471
399,37.984,37.984,29.552,-591.281,0.056
400,20.564,20.564,5.344,-84.163,3.094
401,9.978,9.704,5.344,-273.454,74.478
