Episode,Kick_Speed,friction_patch,default_friction,loc_patch,size_patch,Rewards,Stop_Distance
227,43.52,0.45,0.7,51.24,24.22,-25.43,18.95
228,50.74,0.59,0.7,62.51,20.52,0,5.77
229,49.41,0.79,0.7,46.53,27.17,-22.77,23.21
230,22.73,0.55,0.7,60.86,16.16,-375.25,85.82
231,39.25,0.54,0.7,42.61,29.67,-104.07,45.31
232,33.11,0.83,0.7,62.54,18.6,-232.58,66.61
233,39.32,1.08,0.7,51.98,15.47,-175.94,57.18
234,29.28,0.75,0.7,41.38,21.59,-258.3,73.45
235,40.32,0.52,0.7,73.63,18.63,-72.16,36.51
236,51.51,0.61,0.7,48.56,14.3,0,7.66
237,42.21,0.59,0.7,67.71,22.8,-68.77,36.05
238,39.45,0.61,0.7,53.8,21.89,-103.22,45.22
239,17.23,0.7,0.7,72.38,23.07,-365.94,90.34
240,53.35,0.51,0.7,57.19,19.88,-97.28,2.87
241,22.79,0.67,0.7,35.71,13.48,-343.73,83.96
242,43.3,0.53,0.7,75.43,22.43,-41.6,32.0
243,33.28,0.7,0.7,53.09,13.62,-193.24,63.59
244,40.22,0.85,0.7,63.79,15.98,-143.1,54.25
245,29.59,0.88,0.7,73.25,17.92,-278.02,74.78
246,32.85,0.91,0.7,30.83,18.21,-219.62,65.64
247,28.6,0.75,0.7,41.14,6.85,-239.34,72.12
248,44.2,0.9,0.7,62.8,18.25,-108.96,45.84
249,51.4,0.87,0.7,33.76,20.42,-24.99,23.7
250,34.68,0.65,0.7,49.44,24.54,-151.88,60.16
251,23.27,0.86,0.7,47.73,23.1,-330.45,83.16
252,46.81,0.8,0.7,41.54,15.02,-72.91,36.61
253,24.92,0.89,0.7,51.39,19.35,-343.31,78.98
254,13.58,0.76,0.7,43.46,15.81,-442.51,94.54
255,30.78,0.71,0.7,57.66,22.22,-246.68,67.64
256,48.7,0.49,0.7,43.47,11.23,-12.37,15.37
257,47.95,0.52,0.7,50.87,20.99,-6.23,13.16
258,43.12,0.79,0.7,41.39,20.52,-60.02,40.0
259,31.94,0.59,0.7,36.65,21.22,-223.3,65.92
260,45.91,0.79,0.7,49.54,16.55,-48.78,33.14
