Episode,Kick_Speed,friction,variance_friction,Rewards,Stop_Distance
1335,50.78,0.68,0.27,-1029.24,-0.27
1338,58.45,0.7,0.2,-1030.98,-0.32
1348,62.81,0.62,0.15,-1034.27,-0.01
1352,49.66,0.88,0.17,-32.81,4.56
1354,53.07,0.69,0.16,-1019.37,-0.04
1356,41.08,0.47,0.24,-1018.11,-0.13
1359,42.24,0.56,0.23,-1013.3,-0.06
1362,54.61,0.66,0.24,-1032.73,-0.23
1364,58.65,0.55,0.33,-1055.02,-0.2
1372,53.71,0.74,0.17,-1017.7,-0.09
1374,45.86,0.77,0.25,-1014.71,-0.1
1382,48.07,0.9,0.25,-397.11,0.68
1383,48.83,0.44,0.18,-1029.82,-0.01
1387,46.99,0.68,0.22,-1016.92,-0.01
1389,54.93,0.62,0.19,-1029.31,-0.24
1397,40.49,0.36,0.19,-1016.68,-0.15
1398,47.5,0.75,0.29,-1022.71,-0.14
1400,45.29,0.73,0.19,-37.23,4.36
1411,50.82,0.46,0.15,-1028.78,-0.24
1413,51.78,0.38,0.16,-1040.65,-0.09
1414,53.18,0.57,0.18,-1030.04,-0.23
1415,53.9,0.78,0.24,-1026.39,-0.2
1417,54.63,0.93,0.24,-1020.52,-0.11
1420,45.64,0.5,0.25,-1029.49,-0.01
1426,42.39,0.51,0.22,-1015.18,-0.1
1431,50.32,0.67,0.21,-1023.48,-0.13
1437,51.23,0.56,0.23,-1033.18,-0.29
1442,48.69,0.62,0.19,-1019.88,-0.21
1443,60.18,0.48,0.3,-1061.01,-0.13
1447,45.95,0.46,0.17,-1020.5,-0.05
1451,47.91,0.61,0.12,-207.53,1.69
1453,43.63,0.6,0.29,-1020.52,-0.2
1455,53.14,0.5,0.2,-1036.15,-0.27
1456,43.08,0.69,0.22,-39.38,4.28
1457,54.35,0.67,0.2,-1026.21,-0.23
1468,42.17,0.52,0.24,-1019.1,-0.08
1469,65.06,0.55,0.2,-1054.89,-0.2
1470,48.1,0.74,0.21,-1013.65,-0.11
1471,45.23,0.91,0.28,-106.56,2.73
1472,43.58,0.72,0.23,-97.01,2.87
1474,40.71,0.61,0.29,-519.82,0.26
1475,49.46,0.59,0.25,-1031.07,-0.33
1476,48.49,0.84,0.2,-1008.04,-0.02
1481,50.36,0.43,0.26,-1041.77,-0.06
