Episode,Kick_Speed,NN_start_speed,CRS_speed,Rewards,Stop_Distance
252,1.136,1.136,23.597,-424.648,98.584
253,28.274,28.274,15.487,-1061.947,-0.036
254,17.343,17.343,15.487,-48.636,38.123
255,24.732,24.732,12.149,-1048.597,-0.072
256,44.869,44.869,36.068,-1144.273,-0.141
257,27.339,27.339,15.082,-1060.326,-0.144
258,1.505,1.505,15.082,-420.499,98.36
259,31.731,31.731,21.653,-1086.611,-0.029
260,12.434,12.434,21.653,-194.751,68.712
261,38.975,38.975,30.133,-516.967,0.266
262,13.367,13.367,30.133,-197.29,63.97
263,36.22,36.22,27.635,-1110.54,-0.011
264,13.358,13.358,27.635,-188.74,63.263
265,29.493,29.493,19.045,-1076.18,-0.118
266,26.683,26.683,14.777,-1059.109,-0.12
267,39.912,39.912,31.609,-611.949,0.003
268,30.006,30.006,18.449,-611.039,0.005
269,12.29,11.962,18.449,-177.073,67.286
270,5.853,5.635,18.449,-398.858,92.171
271,27.054,27.054,15.62,-592.22,0.054
272,24.675,24.675,10.427,-1041.707,-0.055
273,40.072,39.321,31.583,-598.33,0.038
274,22.238,22.238,4.614,-9.856,6.435
275,29.427,29.427,17.768,-591.826,0.055
276,16.877,16.877,17.768,-64.667,45.615
277,40.6,40.6,31.434,-1125.736,-0.275
278,4.43,4.43,31.434,-439.626,94.437
279,42.114,42.114,33.721,-1134.884,-0.177
280,44.614,44.614,36.693,-512.47,0.279
281,24.589,24.589,10.22,-1040.881,-0.02
282,32.083,32.083,22.285,-1089.138,-0.029
283,20.425,20.425,22.285,-5.2,17.724
284,23.508,23.508,7.689,-1030.754,-0.076
285,40.346,40.346,30.471,-1121.883,-0.192
286,19.656,19.656,30.471,-11.041,25.294
287,29.882,29.882,19.176,-578.122,0.092
288,40.925,40.925,32.307,-1129.227,-0.228
289,13.068,13.068,32.307,-212.048,70.061
290,37.129,37.129,26.766,-1107.064,-0.129
291,6.584,6.584,26.766,-358.599,89.844
292,36.174,36.174,26.156,-604.089,0.023
293,15.149,15.149,26.156,-100.641,49.932
294,19.234,19.234,26.156,-58.735,34.805
295,44.618,44.618,35.774,-1143.096,-0.194
