Episode,Kick_Speed,NN_start_speed,CRS_speed,Rewards,Stop_Distance
304,44.948,44.948,5.754,-2.195,8.775
305,41.204,41.204,5.754,-18.687,22.23
306,3.712,3.712,5.754,-408.148,97.689
307,26.262,26.262,5.754,-159.639,65.829
308,31.531,31.531,5.754,-109.903,50.947
309,16.532,16.532,5.754,-344.483,84.051
310,40.764,40.764,5.754,-24.618,23.752
311,8.751,8.751,5.754,-437.553,94.323
312,2.288,2.288,5.754,-418.913,98.275
313,40.99,40.99,5.754,-21.506,22.976
314,17.654,17.654,5.754,-328.151,83.035
315,28.647,28.647,5.754,-151.406,60.014
316,9.024,9.024,5.754,-425.285,93.649
317,44.898,44.898,5.163,-1.951,8.958
318,35.827,35.827,5.163,-60.122,39.838
319,36.25,36.25,5.163,-51.305,38.533
320,13.697,13.332,5.163,-331.792,88.24
321,17.385,17.385,5.163,-335.214,83.477
322,21.295,21.295,5.163,-230.555,76.498
323,15.777,15.777,5.163,-295.31,85.978
324,9.883,9.883,5.163,-418.399,93.268
325,12.341,12.341,5.163,-371.392,90.594
326,1.937,1.937,5.163,-421.118,98.394
327,3.012,3.012,5.163,-413.593,97.986
328,30.661,30.661,5.163,-133.125,53.354
329,23.135,22.489,5.163,-219.519,70.631
330,16.918,16.918,5.163,-347.327,84.227
331,19.521,19.521,5.163,-278.57,79.821
332,9.804,9.804,5.163,-419.849,93.348
333,22.636,22.636,5.163,-263.066,73.818
334,43.062,42.292,-0.004,0,13.784
335,35.71,35.71,-0.004,-62.628,40.196
336,13.832,13.832,-0.004,-339.574,88.71
337,37.244,37.244,-0.004,-32.24,35.403
338,23.696,23.696,-0.004,-232.311,71.591
339,21.14,21.14,-0.004,-234.818,76.802
340,6.356,6.356,-0.004,-389.344,96.653
341,36.654,36.654,-0.004,-43.255,37.27
342,41.826,41.826,-0.004,-11.441,20.064
343,43.508,43.508,0.004,0,14.066
344,29.488,29.488,0.004,-128.321,57.853
345,31.55,31.55,0.004,-123.021,52.329
346,36.703,36.703,0.004,-32.659,35.477
347,7.259,7.259,0.004,-378.145,96.028
348,38.788,38.788,0.004,-33.272,30.4
349,5.685,5.685,0.004,-392.641,96.836
350,19.751,19.751,0.004,-272.396,79.406
351,36.338,36.338,0.004,-49.517,38.259
352,9.214,9.214,0.004,-421.982,93.466
353,36.831,35.841,0.004,-50.122,33.423
354,3.36,3.36,0.004,-410.951,97.842
355,12.243,12.243,0.004,-373.366,90.708
356,14.677,14.677,0.004,-309.519,86.871
357,1.285,1.285,0.004,-423.895,98.544
358,18.403,18.403,0.004,-295.107,80.915
359,23.46,23.46,0.004,-224.473,71.005
360,40.98,40.98,0.004,-15.062,21.199
361,43.539,43.539,0.004,0,13.953
362,40.839,40.839,0.004,-23.567,23.495
363,6.603,6.603,0.004,-387.055,96.526
364,6.405,6.405,0.004,-388.902,96.629
365,44.016,44.016,0.003,0,12.21
366,7.617,7.617,0.003,-365.154,95.294
367,26.116,26.116,0.003,-163.709,66.174
368,32.531,32.531,0.003,-97.569,49.588
369,13.389,13.389,0.003,-349.29,89.292
370,44.014,44.014,0.003,0,12.221
371,10.772,10.772,0.003,-393.185,91.848
372,28.498,28.498,0.003,-155.522,60.386
373,5.572,5.572,0.003,-399.567,97.219
374,37.848,37.848,0.003,-50.393,33.468
375,22.308,22.308,0.003,-257.88,73.45
376,32.971,32.971,0.003,-86.623,48.328
377,32.448,32.448,0.003,-99.618,49.818
378,43.645,43.645,-0.004,0,13.566
379,3.309,3.309,-0.004,-408.452,97.706
380,39.659,39.659,-0.004,-19.72,27.508
381,42.249,42.249,-0.004,-3.017,16.717
382,1.08,1.08,-0.004,-423.801,98.538
383,26.274,26.274,-0.004,-159.348,65.804
384,35.222,35.222,-0.004,-73.515,41.691
385,16.84,16.84,-0.004,-349.293,84.347
386,9.618,9.618,-0.004,-423.091,93.528
387,20.531,19.997,-0.004,-237.62,77.001
388,4.603,4.603,-0.004,-400.077,97.247
389,11.88,11.88,-0.004,-380.705,91.133
390,3.324,3.324,-0.004,-408.344,97.7
391,16.372,15.932,-0.004,-348.642,84.307
392,9.001,8.742,-0.004,-425.675,93.671
393,14.499,14.499,-0.004,-324.786,87.813
394,36.967,36.967,-0.004,-37.305,36.283
395,5.194,5.194,-0.004,-394.312,96.929
396,23.293,23.293,-0.004,-243.922,72.444
397,16.355,16.355,-0.004,-349.071,84.334
398,3.661,3.661,-0.004,-408.526,97.71
399,43.368,43.368,-0.001,0,14.572
400,42.896,42.896,-0.005,0,14.386
401,41.428,41.428,-0.005,-15.928,21.454
402,32.27,32.27,-0.005,-104.164,50.322
403,27.442,27.442,-0.005,-185.731,63.011
404,38.354,38.354,-0.005,-40.861,31.823
405,17.413,16.948,-0.005,-321.451,82.612
406,26.742,26.742,-0.005,-191.228,63.47
407,42.346,42.346,-0.005,-6.398,18.225
408,34.764,34.764,-0.005,-84.165,43.071
409,4.385,4.385,-0.005,-402.131,97.36
410,34.276,34.276,-0.005,-96.017,44.527
411,27.658,27.658,-0.005,-179.459,62.481
412,39.976,39.976,-0.005,-15.336,26.436
413,17.48,17.48,-0.005,-319.684,82.5
414,22.893,22.893,-0.005,-240.88,72.222
415,10.142,9.865,-0.005,-405.138,92.525
416,31.8,31.8,-0.005,-103.022,50.196
417,29.22,29.22,-0.005,-135.608,58.549
418,31.536,31.536,-0.005,-123.414,52.369
419,42.749,42.749,-0.005,-3.184,16.799
420,44.519,44.519,-0.002,0,10.364
421,16.102,16.102,-0.002,-287.621,85.489
422,5.979,5.979,-0.002,-395.633,97.002
423,27.262,27.262,-0.002,-176.105,62.194
424,9.597,9.597,-0.002,-415.139,93.086
425,44.97,44.189,9.008,-8.149,6.732
426,13.445,13.445,9.008,-348.086,89.22
427,1.242,1.242,9.008,-424.049,98.552
428,44.809,44.809,7.766,-5.519,7.339
429,9.791,9.791,7.766,-420.06,93.36
430,24.049,24.049,7.766,-222.117,70.828
431,19.472,19.472,7.766,-279.877,79.908
432,35.658,35.658,7.766,-63.807,40.362
433,7.987,7.987,7.766,-365.027,95.287
434,44.419,44.419,5.774,-2.165,8.796
435,5.415,5.415,5.774,-395.028,96.968
436,31.469,31.469,5.774,-125.155,52.548
437,44.544,44.544,-0.002,0,10.271
438,11.708,11.708,-0.002,-384.121,91.33
439,16.205,16.205,-0.002,-285.229,85.336
440,30.605,30.605,-0.002,-134.685,53.51
441,20.455,20.455,-0.002,-253.327,78.102
442,5.604,5.604,-0.002,-399.287,97.203
443,23.198,23.198,-0.002,-246.719,72.648
444,40.817,40.817,-0.002,-23.869,23.569
445,7.46,7.212,-0.002,-445.186,94.739
446,4.635,4.635,-0.002,-395.755,97.009
447,41.861,41.861,-0.002,-11.074,19.941
448,43.309,43.309,-0.002,0,14.783
449,1.269,1.269,-0.002,-423.98,98.548
450,30.168,30.168,-0.002,-110.343,56.071
451,34.859,34.859,-0.002,-81.923,42.787
452,30.889,30.889,-0.002,-141.006,54.133
453,38.653,38.653,-0.002,-35.592,30.847
454,30.733,30.733,-0.002,-131.167,53.158
455,30.784,30.784,-0.002,-143.937,54.418
456,37.449,37.449,-0.002,-58.374,34.748
457,2.796,2.796,-0.002,-412.512,97.927
458,1.259,1.259,-0.002,-424.008,98.55
459,43.318,43.318,-0.002,0,14.753
460,43.14,43.14,-0.002,-0.612,15.393
461,32.993,32.993,-0.002,-86.109,48.268
462,44.185,43.408,2.839,-1.239,9.666
463,34.475,34.475,2.839,-91.131,43.937
464,3.157,3.157,2.839,-412.597,97.932
465,36.886,36.886,2.839,-38.817,36.539
466,27.588,27.588,2.839,-181.454,62.65
467,19.728,19.728,2.839,-272.98,79.446
468,28.628,28.628,2.839,-151.91,60.06
469,40.667,40.667,2.839,-26.012,24.086
470,35.735,35.735,2.839,-51.246,38.524
471,30.237,30.237,2.839,-144.854,54.506
472,4.522,4.522,2.839,-400.914,97.293
473,34.384,34.384,2.839,-80.902,42.656
474,15.213,14.805,2.839,-285.716,85.367
475,6.286,6.286,2.839,-385.304,96.428
