Episode,Kick_Speed,NN_start_speed,CRS_speed,location_of_patch,friction,Rewards,Stop_Distance
364,20.0,19.48,32.19,18.9,0.45,-46.88,27.88
365,25.51,25.51,12.28,2.17,0.6,-597.85,0.04
366,29.02,29.02,17.92,52.52,0.53,-1071.69,-0.09
367,10.16,9.87,17.92,10.05,0.71,-274.03,74.52
368,15.1,15.1,17.92,31.55,0.51,-141.7,49.2
369,23.49,23.49,17.92,49.89,0.27,-34.82,30.86
370,22.98,22.98,8.39,87.86,0.47,-1033.56,-0.06
371,43.92,43.92,35.07,16.66,0.59,-1140.28,-0.25
372,14.44,14.44,35.07,73.13,0.29,-180.52,57.57
373,29.85,29.85,18.17,32.6,0.36,-1072.7,-0.12
374,20.47,20.47,18.17,5.91,0.33,-12.92,20.81
375,38.84,38.84,30.42,89.62,0.37,-1121.68,-0.0
376,42.05,42.05,33.3,41.33,0.67,-606.8,0.02
377,11.75,11.75,33.3,85.62,0.52,-221.09,70.81
378,38.29,38.29,29.37,57.83,0.48,-609.88,0.01
379,37.14,37.14,28.66,67.64,0.22,-1114.66,-0.14
380,23.26,23.26,28.66,73.36,0.5,-17.21,16.82
381,39.09,39.09,30.23,93.16,0.53,-593.33,0.05
382,35.88,35.88,27.0,23.39,0.57,-1108.02,-0.01
383,27.62,27.62,15.92,8.11,0.47,-1063.68,-0.14
384,40.81,40.81,32.57,25.72,0.58,-1130.26,-0.26
385,44.24,44.24,36.43,6.3,0.72,-1145.72,-0.16
386,42.5,42.5,33.82,30.75,0.58,-1135.29,-0.01
387,9.59,9.59,33.82,37.3,0.6,-359.53,79.97
388,29.98,29.98,18.8,71.65,0.3,-1075.2,-0.06
389,12.15,12.15,18.8,11.84,0.35,-343.83,79.01
390,18.08,17.6,18.8,94.8,0.31,-75.29,36.93
391,13.61,13.61,18.8,84.26,0.45,-187.04,58.12
392,37.86,37.86,29.75,68.02,0.24,-1118.98,-0.04
393,20.43,20.43,29.75,22.23,0.24,-29.11,24.57
394,6.2,6.2,29.75,32.47,0.6,-456.32,95.27
395,21.83,21.83,0.01,31.58,0.59,-0.46,10.3
396,44.86,44.86,36.44,65.85,0.49,-538.26,0.2
397,25.39,25.39,11.36,9.89,0.31,-1045.44,-0.13
398,38.4,38.4,28.96,62.51,0.5,-1115.85,-0.02
399,43.25,43.25,33.72,40.96,0.52,-1134.89,-0.14
400,38.45,38.45,29.36,69.78,0.73,-527.49,0.23
401,20.85,20.85,29.36,45.04,0.43,-40.91,26.83
402,23.28,23.28,5.25,70.94,0.53,-62.91,3.55
403,31.84,31.84,21.84,7.33,0.52,-1087.35,-0.26
404,12.84,12.84,21.84,54.72,0.23,-241.01,67.23
405,15.23,15.23,21.84,55.52,0.5,-105.97,50.62
406,14.19,14.19,21.84,91.8,0.46,-157.41,60.64
407,11.29,11.29,21.84,90.01,0.61,-255.93,73.28
408,40.91,40.91,31.68,46.3,0.73,-573.55,0.1
409,39.67,39.67,31.08,95.07,0.35,-525.72,0.24
410,6.07,6.07,31.08,28.62,0.61,-476.73,96.33
411,15.72,15.72,31.08,51.03,0.38,-120.69,52.11
412,43.7,43.7,35.79,23.17,0.74,-1143.15,-0.16
413,22.97,22.97,8.66,63.17,0.61,-1034.66,-0.03
414,6.95,6.95,8.66,70.18,0.58,-431.79,89.01
415,29.46,28.8,17.77,63.0,0.24,-1071.08,-0.12
416,13.6,13.6,17.77,72.35,0.62,-154.06,60.35
417,12.24,12.24,17.77,86.79,0.32,-260.77,68.65
418,34.0,34.0,24.28,44.52,0.31,-1097.11,-0.05
419,39.16,39.16,29.57,2.36,0.31,-1118.3,-0.15
420,35.39,35.39,25.96,86.5,0.55,-562.87,0.13
421,8.82,8.82,25.96,24.08,0.4,-342.19,83.87
422,17.12,17.12,25.96,65.27,0.53,-78.28,42.33
423,43.52,43.52,35.26,12.89,0.39,-1141.03,-0.23
424,35.88,35.88,25.82,14.3,0.28,-1103.28,-0.08
425,37.12,37.12,27.58,51.42,0.47,-582.59,0.08
426,23.92,23.92,9.65,59.42,0.32,-1038.62,-0.06
427,9.29,9.29,9.65,85.96,0.76,-290.11,80.65
428,8.08,8.08,9.65,64.88,0.6,-363.25,85.12
429,14.93,14.93,9.65,5.4,0.44,-147.35,54.64
430,18.46,18.46,9.65,95.44,0.5,-73.75,36.72
431,8.84,8.84,9.65,76.98,0.38,-315.23,82.23
432,37.79,37.79,28.64,76.41,0.49,-589.13,0.06
433,32.91,32.91,22.95,19.76,0.44,-1091.8,-0.29
