Episode,Kick_Speed,NN_start_speed,CRS_speed,location_of_patch,friction,Rewards,Stop_Distance
220,30.71,30.71,2.39,72.34,0.52,0,5.97
221,39.63,39.63,2.39,27.0,0.45,-76.37,37.07
222,7.46,7.46,2.39,35.95,0.6,0,5.98
223,24.16,23.56,2.38,68.3,0.49,0,6.0
224,19.73,19.73,2.38,42.35,0.62,0,5.91
225,25.05,25.05,2.38,14.31,0.35,-272.29,69.47
226,41.51,41.51,2.38,8.17,0.58,-36.89,26.09
227,8.01,8.01,2.39,68.03,0.5,0,6.0
228,42.06,41.3,2.39,59.48,0.69,-16.53,21.74
229,37.61,37.61,2.39,23.35,0.56,-104.68,45.38
230,41.1,41.1,2.39,41.23,0.61,-30.1,30.02
231,30.04,30.04,2.39,19.28,0.68,-161.45,60.98
232,24.46,24.46,2.39,94.95,0.44,-26.64,4.89
233,7.52,7.52,2.4,24.7,0.77,0,5.98
234,6.94,6.71,2.39,55.17,0.52,0,6.02
235,28.48,28.48,2.37,38.89,0.48,0,5.99
236,36.66,36.66,2.36,59.35,0.38,0,5.92
237,44.66,44.66,2.36,60.85,0.52,-12.38,15.37
238,21.05,21.05,2.39,31.32,0.56,0,5.97
239,12.03,12.03,2.39,69.61,0.32,-19.14,22.37
240,29.59,29.59,2.39,33.42,0.43,-120.64,47.08
241,33.46,33.46,2.39,10.74,0.57,-174.72,57.07
242,24.32,24.32,2.38,15.75,0.55,0,5.96
243,23.42,22.83,2.39,87.96,0.51,0,6.0
244,23.27,23.27,2.4,11.42,0.51,0,5.94
245,29.08,29.08,2.39,81.92,0.43,0,5.94
246,15.79,15.79,2.39,14.03,0.2,0,6.01
247,33.39,33.39,2.41,84.36,0.38,0,6.04
248,16.19,16.19,2.38,15.48,0.37,0,6.03
249,38.42,38.42,2.38,76.62,0.38,0,6.03
250,44.31,44.31,2.38,51.98,0.6,-23.64,18.51
251,44.3,44.3,2.38,48.46,0.47,-11.89,20.53
252,41.81,41.81,2.38,78.64,0.47,-13.4,15.69
253,36.44,36.44,2.38,56.02,0.52,-64.55,35.47
254,15.55,15.55,2.4,9.47,0.72,0,5.94
255,12.88,12.88,2.39,45.99,0.52,0,5.98
256,40.25,40.25,2.39,20.29,0.65,-65.66,40.74
257,37.73,37.73,2.39,90.83,0.16,-39.41,4.28
258,34.85,34.85,2.36,61.45,0.54,0,5.92
259,38.49,38.49,2.36,35.05,0.73,-96.41,39.57
260,13.14,13.14,2.4,55.0,0.55,0,5.95
261,30.69,30.69,2.4,2.1,0.33,-241.36,67.26
262,40.41,40.41,2.4,17.77,0.31,-98.38,39.81
263,20.15,20.15,2.39,79.78,0.52,0,5.94
264,9.85,9.85,2.37,88.14,0.75,0,5.96
265,6.01,6.01,2.38,96.74,0.68,0,6.03
266,36.65,36.65,2.38,32.44,0.65,-88.61,43.56
267,18.66,18.66,2.38,43.39,0.52,0,6.0
268,34.95,34.95,2.35,74.73,0.5,0,6.01
269,32.3,32.3,2.4,1.71,0.37,0,6.02
270,29.94,29.94,2.36,45.63,0.52,0,5.81
271,29.1,29.1,2.36,24.38,0.12,-198.29,59.05
272,19.36,18.85,2.38,14.67,0.45,0,6.03
273,13.79,13.79,2.4,8.72,0.62,0,6.02
274,41.9,41.9,2.4,61.12,0.46,-16.57,21.75
275,6.44,6.44,2.38,98.26,0.45,0,6.02
276,11.83,11.83,2.39,50.64,0.35,0,5.97
277,17.55,17.55,2.39,52.22,0.57,0,5.93
278,18.82,18.82,2.37,5.9,0.45,0,5.86
279,21.81,21.81,2.37,51.21,0.43,0,5.92
280,23.53,23.53,2.38,79.18,0.44,0,6.0
281,20.71,20.71,2.39,70.07,0.68,0,5.97
282,38.1,38.1,2.39,61.13,0.42,-58.5,29.77
283,15.96,15.96,2.39,59.71,0.4,-57.06,29.54
284,33.78,33.78,2.39,31.98,0.41,-133.12,48.35
285,5.59,5.59,2.38,59.07,0.57,0,5.95
286,35.27,35.27,2.38,35.72,0.56,-93.26,44.1
287,22.84,22.84,2.4,21.43,0.75,0,6.02
288,30.78,30.1,2.35,65.85,0.82,0,5.94
289,19.24,19.24,2.39,46.39,0.59,0,5.93
